,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
257,284,73,124,176,159,73,133,104
258,281,96,118,177,164,73,131,103
259,279,100,118,177,161,77,136,104
260,287,90,117,175,159,73,132,108
261,287,87,118,176,159,73,133,105
262,284,87,124,176,160,71,133,105
263,287,97,118,176,164,71,131,103
264,286,89,120,175,159,73,134,104
265,287,85,118,180,160,71,134,105
266,283,87,114,177,160,73,133,103
267,283,96,115,182,160,73,132,103
268,287,86,116,175,161,73,138,104
269,283,86,114,176,159,72,133,105
270,286,85,121,173,167,72,133,102
271,283,90,114,175,156,73,133,103
272,281,99,117,176,159,72,131,107
273,286,85,121,173,159,72,133,104
274,295,96,115,177,159,73,131,109
275,286,85,118,175,158,73,133,103
276,290,96,125,176,159,72,133,105
277,281,74,116,175,160,73,136,102
278,287,98,115,180,160,73,132,105
279,287,78,118,176,159,72,133,104
280,287,107,115,180,160,77,130,105
281,286,73,118,175,164,72,137,102
282,287,101,117,180,160,78,130,105
283,287,84,123,176,161,72,133,105
284,291,94,118,172,159,73,131,110
285,281,78,116,175,156,73,132,103
286,283,104,115,181,160,74,132,103
287,287,72,118,175,161,73,133,104
288,292,86,122,176,159,72,133,104
289,287,87,117,175,162,72,140,104
290,283,90,115,179,160,74,132,105
291,287,87,118,175,162,72,135,104
292,287,88,116,175,160,73,134,103
293,287,88,118,176,159,73,131,112
294,287,86,115,182,160,73,132,105
295,287,89,118,176,159,75,131,105
296,287,92,117,176,159,77,130,105
297,281,89,114,177,160,73,128,105
298,288,73,118,175,163,72,142,104
299,284,95,116,175,160,71,134,103
300,286,87,116,175,161,73,137,103
301,288,86,118,172,159,72,134,104
302,287,89,115,182,160,73,132,103
303,287,89,117,176,159,74,131,114
304,288,87,116,175,160,73,135,103
305,280,87,117,176,159,72,133,104
306,290,86,121,175,167,72,133,102
307,283,92,115,181,161,73,138,104
308,292,84,118,176,159,72,133,105
309,286,89,122,175,160,72,133,103
310,288,79,115,177,159,73,131,109
311,286,87,116,175,160,73,136,102
312,287,92,117,179,160,73,132,103
313,287,104,118,177,160,76,131,103
314,287,100,115,175,159,74,132,108
315,287,87,117,180,160,71,133,105
316,287,92,118,176,160,71,133,105
317,288,73,115,177,160,71,131,103
318,288,92,117,177,160,76,131,103
319,287,87,118,180,160,73,133,108
320,287,101,118,176,168,73,131,103
321,288,92,117,176,161,71,134,105
322,287,87,124,173,159,73,133,104
323,287,80,118,176,159,76,131,105
324,288,92,115,175,159,73,132,108
325,288,87,120,175,159,73,136,103
326,288,88,117,177,160,74,131,103
327,287,73,118,177,160,71,131,103
328,288,87,115,175,161,76,131,105
329,287,95,120,175,159,73,133,105
330,287,85,118,180,160,71,133,105
331,287,80,115,177,160,73,133,108
332,287,87,118,176,164,71,131,103
333,283,104,118,177,160,73,131,103
334,288,87,118,176,160,73,133,104
335,288,89,117,175,159,73,133,104
336,288,95,115,175,159,73,133,104
337,292,93,118,176,159,73,132,106
338,288,92,115,175,159,73,134,104
339,288,92,117,177,160,80,136,103
340,290,91,116,176,159,73,132,105
341,290,79,118,176,160,71,133,105
342,290,89,118,176,159,73,132,108
343,289,88,118,176,160,80,136,103
344,287,75,118,176,160,77,133,103
345,292,96,120,175,159,71,134,105
346,296,96,115,176,160,74,133,106
347,292,75,120,175,159,72,136,103
348,287,87,118,176,161,71,131,103
349,292,96,115,177,160,80,136,103
350,296,79,115,175,159,73,133,104
351,296,87,117,176,160,73,132,103
352,293,83,118,176,160,71,134,105
353,292,91,120,175,159,74,134,104
354,287,104,115,175,160,72,134,103
355,287,83,118,176,164,72,131,103
356,292,96,118,175,161,74,131,105
357,287,91,117,176,160,76,131,103
358,294,83,115,175,159,73,134,112
359,287,89,118,176,168,71,131,103
360,292,88,120,175,161,76,131,103
361,291,92,118,177,164,73,131,103
362,294,96,117,177,160,80,136,104
363,294,86,118,177,160,71,133,103
364,287,96,118,176,159,72,131,103
365,291,92,118,177,160,73,131,103
366,294,99,116,176,160,71,134,105
367,294,74,118,176,160,73,134,105
368,294,99,118,176,164,72,131,103
369,294,71,118,176,160,71,133,105
370,295,88,115,177,160,73,131,103
371,294,83,118,176,162,73,131,103
372,294,87,120,176,160,71,134,105
373,295,87,118,176,159,73,134,105
374,294,87,118,176,160,71,133,103
375,291,87,118,176,168,74,131,103
376,294,86,118,174,159,74,131,105
377,291,94,115,180,160,73,132,103
378,297,99,126,176,162,72,134,105
379,291,88,115,183,160,73,132,103
380,295,93,115,186,160,73,132,103
381,298,84,121,175,165,73,139,104
382,294,84,117,176,159,78,131,105
383,291,87,116,176,160,73,132,103
384,294,89,116,175,160,73,136,103
385,287,107,115,180,160,73,130,105
386,292,87,117,175,163,72,135,101
387,288,87,116,175,161,73,137,102
388,288,85,116,175,162,73,139,102
389,295,76,118,172,159,72,133,106
390,292,86,117,175,160,73,132,103
391,299,84,126,176,159,72,133,105
392,292,89,118,175,163,72,137,104
393,292,99,116,175,160,73,134,103
394,296,85,119,175,165,72,139,104
395,292,87,116,175,160,73,136,102
396,289,87,117,175,164,72,133,101
397,294,87,118,175,164,73,134,102
398,294,75,117,175,163,72,140,104
399,288,75,116,175,160,73,137,102
400,295,86,117,176,159,75,131,110
401,289,87,116,175,162,73,139,102
402,289,90,116,175,160,73,135,103
403,299,88,125,176,159,72,133,106
404,297,92,126,176,159,72,133,107
405,299,101,123,175,160,74,134,103
406,288,89,115,179,160,73,132,103
407,291,101,116,177,160,73,136,103
408,291,87,116,176,160,73,134,103
409,291,87,115,181,160,73,133,104
410,291,95,115,180,160,75,132,103
411,289,90,114,175,160,73,135,103
412,294,89,118,175,164,73,140,104
413,295,86,117,176,159,74,131,111
414,294,85,117,175,163,73,139,102
415,292,87,116,175,160,73,137,104
416,291,90,116,175,161,73,137,104
417,295,82,115,177,159,76,131,105
418,295,71,121,173,162,72,133,104
419,297,86,118,176,159,74,131,108
420,295,92,115,180,160,79,130,105
421,291,75,115,182,160,73,132,103
422,302,72,117,172,159,73,131,110
423,299,85,119,175,166,72,138,104
424,292,75,116,175,161,73,134,103
425,292,75,116,175,162,73,138,104
426,300,72,118,172,159,72,133,105
427,303,84,118,172,159,73,131,108
428,295,86,118,174,159,73,131,110
429,295,86,117,174,159,77,131,104
430,289,87,116,175,160,73,132,104
431,295,93,117,181,160,73,132,103
432,289,91,116,175,162,73,142,104
433,294,89,115,181,160,73,132,103
434,296,90,117,176,159,74,131,109
435,295,90,117,176,159,76,131,105
436,291,93,117,178,160,79,130,105
437,300,88,118,176,159,75,131,105
438,296,93,115,175,162,73,136,105
439,291,100,117,177,161,72,140,104
440,296,95,120,175,159,73,134,104
441,291,97,118,176,161,71,133,103
442,295,96,118,180,160,71,133,105
443,296,103,115,175,159,74,134,104
444,291,104,117,177,162,76,131,103
445,296,95,117,176,164,71,131,103
446,296,102,115,175,162,72,136,105
447,295,99,118,176,168,73,131,103
448,296,102,115,175,162,73,131,105
449,296,104,115,175,159,73,134,104
450,300,102,117,175,159,73,133,104
451,294,102,115,175,162,72,136,104
452,300,87,116,176,159,73,134,104
453,291,91,118,176,160,76,131,103
454,296,94,115,175,162,72,140,104
455,295,90,117,176,162,71,134,105
456,300,96,118,176,160,76,131,103
457,297,86,115,175,162,72,140,106
458,296,74,118,177,160,71,134,105
459,296,73,118,176,160,71,134,105
460,291,90,115,175,159,73,134,108
461,296,87,124,176,159,71,131,103
462,291,93,120,184,162,73,136,105
463,297,89,118,176,161,73,134,105
464,295,98,118,180,160,71,131,103
465,291,97,118,176,162,80,136,104
466,297,86,118,176,160,71,134,105
467,291,88,115,176,162,78,136,103
468,291,77,118,177,161,71,133,105
469,295,87,118,180,161,71,131,103
470,295,86,118,180,161,71,133,103
471,295,99,118,176,162,72,133,103
472,298,83,115,177,162,76,131,103
473,296,88,115,175,159,73,134,112
474,298,86,124,175,162,77,133,105
475,296,90,120,173,159,73,134,105
476,291,87,121,175,159,73,134,108
477,298,80,118,173,159,73,140,103
478,298,87,118,180,161,71,131,103
479,293,97,118,176,160,71,134,105
480,291,88,118,184,161,71,133,105
481,300,76,115,175,162,73,134,109
482,296,89,117,175,159,73,134,112
483,291,98,115,175,162,74,134,104
484,298,96,117,177,164,71,134,105
485,298,87,118,176,160,71,134,104
486,293,91,115,182,160,73,132,103
487,292,101,115,177,165,73,137,102
488,298,95,115,179,160,78,131,109
489,298,84,118,176,159,72,134,104
490,298,84,118,176,162,72,134,105
491,295,95,115,180,160,73,132,103
492,302,92,126,176,162,72,133,104
493,296,87,116,175,160,73,132,103
494,292,91,114,175,160,73,134,103
495,295,91,117,177,160,79,132,105
496,292,93,115,179,161,76,131,110
497,296,85,116,175,162,73,136,102
498,300,87,118,175,165,72,141,104
499,298,102,115,176,160,73,135,103
500,300,87,120,175,167,71,134,102
501,299,78,117,176,159,73,131,114
502,293,87,116,175,162,73,139,104
503,295,102,115,181,160,74,132,105
504,298,87,118,174,159,74,155,103
505,293,94,115,180,160,73,132,103
506,295,92,117,178,160,82,131,104
507,306,87,118,172,159,73,131,109
508,292,76,116,175,160,73,134,103
509,296,87,116,175,160,73,137,103
510,295,91,118,176,159,72,141,104
511,298,75,118,175,166,72,134,102
512,298,88,118,172,159,72,133,107
513,299,100,117,177,161,78,131,105
514,295,93,117,180,160,82,130,103
515,302,84,117,176,162,72,134,106
516,293,103,115,177,160,73,134,103
517,303,85,117,175,160,73,134,103
518,296,91,115,182,160,74,134,103
519,295,103,117,177,160,81,132,103
520,298,87,116,175,160,73,135,103
521,299,85,123,173,163,71,139,104
522,296,102,116,175,160,73,136,103
523,298,85,120,173,170,72,134,102
524,293,92,114,175,160,73,133,103
525,296,98,118,175,164,73,140,104
526,300,78,120,185,159,72,135,105
527,295,88,118,174,159,73,131,114
528,299,89,118,172,159,72,134,105
529,298,71,116,175,163,73,137,102
530,299,87,116,175,160,73,134,101
531,300,87,120,173,172,72,134,104
532,305,84,118,176,159,72,134,107
533,302,98,120,176,162,72,133,105
534,304,84,118,172,159,72,134,104
535,296,89,115,176,160,73,134,103
536,301,88,123,173,168,72,134,102
537,293,78,115,183,160,73,134,103
538,293,88,118,177,162,77,136,103
539,299,83,118,176,168,73,131,103
540,295,99,118,176,164,71,133,105
541,304,92,115,177,162,71,134,104
542,298,80,118,176,162,73,134,103
543,298,92,115,175,163,72,133,108
544,304,95,118,176,159,73,134,104
545,301,87,118,176,161,71,131,103
546,301,77,116,176,161,73,134,104
547,304,91,120,175,159,73,134,104
548,297,100,117,175,162,72,136,103
549,300,91,115,175,163,73,134,106
550,302,85,118,176,164,73,131,103
551,295,88,115,175,163,73,134,106
552,300,89,115,175,159,73,134,104
553,302,99,118,176,161,73,134,105
554,295,87,118,177,161,71,134,105
555,301,88,117,175,159,74,134,104
556,295,78,117,177,162,71,134,104
557,299,87,118,176,160,76,133,103
558,295,92,118,177,162,76,133,103
559,302,99,118,176,159,73,134,104
560,295,96,118,177,162,76,133,103
561,302,89,115,175,163,73,134,108
562,303,87,116,176,161,71,134,104
563,302,85,118,180,161,71,131,103
564,302,93,115,175,159,73,134,104
565,295,87,118,177,162,76,133,103
566,304,80,117,177,163,72,140,106
567,302,83,118,176,161,71,134,104
568,308,88,120,175,159,73,134,104
569,302,96,118,176,161,73,134,108
570,308,94,115,175,163,73,140,108
571,304,103,115,175,159,73,134,104
572,297,97,118,180,161,71,134,104
573,302,93,118,176,162,76,131,103
574,302,89,120,175,159,73,135,104
575,295,93,118,177,163,72,134,105
576,302,97,117,177,163,72,136,103
577,295,83,118,180,163,72,133,103
578,299,98,117,180,160,73,132,103
579,302,89,117,176,159,76,131,104
580,299,91,117,176,159,74,131,108
581,302,85,121,175,168,72,134,102
582,302,87,118,175,165,72,135,101
583,299,90,115,181,160,73,132,103
584,302,76,117,176,161,77,131,104
585,302,101,117,175,164,72,135,101
586,300,75,116,175,162,73,138,103
587,303,89,120,175,168,72,134,101
588,302,88,121,173,169,72,134,104
589,307,85,122,173,168,72,134,104
590,297,103,115,184,160,73,132,103
591,303,78,117,177,161,79,130,103
592,297,95,116,175,162,73,134,103
593,303,86,118,172,163,72,134,104
594,304,87,114,175,162,73,136,103
595,303,87,117,176,161,71,133,104
596,304,89,120,176,161,73,134,104
597,303,86,118,176,161,71,134,103
598,299,87,115,176,162,73,131,104
599,308,89,120,175,163,73,135,104
600,303,83,118,184,161,71,131,103
601,304,87,118,184,161,71,131,103
602,304,102,118,176,161,71,134,105
603,304,88,115,175,163,72,136,104
