,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
336,245,100,118,179,173,73,137,99
337,240,90,116,180,172,73,138,97
338,250,81,118,176,173,72,137,104
339,249,94,117,176,171,77,136,99
340,243,94,118,181,171,78,136,98
341,240,78,116,180,168,73,138,97
342,244,86,119,176,174,72,139,98
343,246,92,124,176,180,72,139,96
344,244,91,116,179,173,73,139,97
345,247,85,119,176,173,70,138,101
346,239,101,116,180,172,73,139,97
347,245,90,119,179,171,77,136,98
348,245,78,118,178,173,72,138,100
349,240,90,116,180,172,73,141,96
350,243,99,116,179,172,71,141,97
351,240,90,116,179,172,73,138,97
352,250,74,119,179,171,72,137,102
353,240,89,118,179,174,71,143,96
354,249,105,118,177,172,80,138,96
355,245,90,123,176,180,72,138,96
356,244,75,118,179,176,72,142,96
357,241,88,119,176,173,72,138,102
358,251,93,119,176,173,72,137,101
359,250,88,119,176,173,72,137,99
360,239,91,116,180,172,73,138,97
361,249,86,119,176,173,74,137,103
362,249,75,123,179,179,72,139,98
363,240,87,121,177,176,72,139,96
364,240,103,119,179,176,72,140,96
365,245,91,116,180,172,73,138,97
366,246,87,119,178,171,74,137,106
367,243,80,119,179,171,79,136,98
368,240,89,117,185,171,76,136,98
369,240,94,116,180,172,73,136,97
370,240,103,116,180,172,73,138,97
371,251,91,119,179,174,71,148,96
372,245,81,121,177,177,72,138,96
373,243,80,117,183,169,73,136,98
374,247,88,121,177,179,72,139,96
375,245,106,117,184,171,76,136,98
376,245,90,118,179,175,71,143,96
377,240,91,116,180,172,73,140,96
378,245,87,122,177,173,70,139,99
379,244,74,122,177,181,72,138,102
380,241,87,118,180,172,73,138,97
381,250,85,126,176,173,72,139,98
382,240,96,122,177,178,71,138,97
383,241,78,120,177,171,72,139,99
384,239,87,118,177,171,73,139,98
385,243,96,119,180,171,74,137,97
386,241,80,119,188,171,72,138,98
387,248,96,116,179,173,73,138,104
388,244,90,120,177,174,73,140,97
389,239,87,120,180,172,72,139,98
390,245,87,120,180,180,71,139,105
391,244,96,118,175,174,71,138,98
392,244,96,119,177,174,76,137,98
393,241,96,119,179,173,73,137,98
394,239,105,119,177,174,80,135,99
395,245,92,118,180,171,73,144,97
396,248,92,119,184,174,72,137,97
397,241,102,119,180,171,73,144,97
398,248,90,119,184,171,73,137,98
399,245,87,119,177,174,76,135,98
400,239,99,120,180,176,71,139,100
401,241,90,119,177,173,72,137,97
402,241,92,119,177,174,72,135,98
403,241,95,115,180,172,71,139,98
404,244,93,115,175,174,73,136,101
405,239,74,119,180,171,74,139,98
406,241,94,117,180,173,80,139,97
407,239,98,119,184,171,71,139,98
408,245,86,119,180,171,71,138,104
409,245,82,120,177,171,71,139,98
410,244,93,120,175,174,73,138,101
411,245,87,118,177,171,73,139,100
412,239,91,124,177,173,73,138,99
413,245,86,115,180,174,72,139,97
414,244,89,118,177,173,73,138,104
415,245,100,119,180,180,76,140,97
416,243,96,119,180,172,73,137,97
417,244,90,119,184,171,71,139,99
418,239,87,119,184,171,71,139,100
419,239,89,124,177,171,71,139,98
420,239,90,120,179,174,76,135,98
421,244,106,120,177,171,73,139,98
422,239,93,119,180,176,71,135,98
423,241,87,118,177,171,73,138,97
424,239,79,121,175,173,73,139,98
425,241,96,118,180,172,73,135,98
426,244,95,117,175,173,73,139,98
427,245,104,119,180,174,72,140,101
428,239,91,119,180,171,71,139,98
429,245,89,118,177,171,73,139,98
430,244,89,119,180,176,73,135,98
431,241,80,118,180,174,73,139,98
432,245,87,119,179,171,71,139,98
433,245,87,118,184,171,71,135,97
434,252,90,117,175,174,73,139,98
435,244,90,118,179,171,72,139,98
436,244,98,120,177,171,71,139,98
437,239,79,117,184,171,73,136,98
438,248,74,119,176,173,72,139,101
439,244,78,116,179,172,73,141,96
440,245,88,118,179,172,73,138,98
441,244,89,118,179,175,72,139,96
442,241,91,116,180,172,73,138,98
443,252,88,118,178,173,73,137,107
444,245,94,119,176,173,72,138,98
445,240,102,117,183,169,73,138,103
446,241,89,118,179,172,71,136,99
447,240,90,119,179,175,72,142,96
448,244,88,119,177,178,72,142,96
449,244,77,116,179,173,71,144,96
450,244,75,119,177,177,72,139,98
451,240,87,118,179,174,72,139,96
452,246,94,117,178,174,70,139,96
453,241,95,117,184,170,82,136,98
454,240,99,121,177,178,72,138,96
