,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
461,274,88,126,187,191,78,147,126
462,272,88,127,187,192,74,142,122
463,275,85,126,189,187,75,142,124
464,271,94,131,188,190,74,140,120
465,275,68,123,192,191,76,141,128
466,271,93,126,188,191,74,144,123
467,280,108,126,183,190,74,142,123
468,280,97,126,185,191,73,140,119
469,271,87,123,188,191,74,142,128
470,273,74,126,183,191,73,142,124
471,276,89,123,187,191,73,142,119
472,275,98,126,185,191,73,142,124
473,274,108,126,185,191,73,142,123
474,275,90,123,196,191,74,142,124
475,274,90,125,188,191,74,142,132
476,273,91,126,187,187,76,148,123
477,277,94,132,188,187,74,142,122
478,271,97,126,187,196,75,142,122
479,277,90,123,188,191,74,139,123
480,280,86,126,185,191,73,142,124
481,276,92,126,183,190,75,142,119
482,271,106,125,188,190,75,144,123
483,274,91,126,187,192,75,144,123
484,276,83,123,192,191,80,141,123
485,273,93,123,188,191,74,144,121
486,271,97,126,185,191,75,142,121
487,271,91,126,188,192,73,141,123
488,273,94,125,188,190,75,139,123
489,271,100,126,188,191,76,144,119
490,273,96,126,185,190,80,139,119
491,271,89,127,192,187,75,142,123
492,276,101,123,188,190,75,141,123
493,271,93,126,192,187,75,142,122
494,272,86,126,188,192,73,142,123
495,271,93,126,188,192,75,139,122
496,280,90,125,188,196,73,142,123
497,276,90,128,187,190,80,139,119
498,271,115,126,192,187,75,142,128
499,271,87,128,183,191,75,142,122
500,273,94,125,188,192,73,141,123
501,274,111,128,183,191,74,144,119
502,273,91,128,183,191,75,142,128
503,276,91,126,192,192,73,141,123
504,271,96,123,188,188,75,139,123
505,280,72,125,188,190,77,139,123
506,271,107,126,187,190,73,141,123
507,271,96,126,188,192,75,142,122
508,277,93,128,187,191,75,144,124
509,276,94,128,183,191,74,144,119
510,280,92,126,188,192,73,142,121
511,277,108,132,192,191,76,142,128
512,276,91,128,183,191,75,142,122
513,276,111,123,188,191,84,139,119
514,280,70,125,188,191,74,144,121
515,271,93,123,187,188,75,143,121
516,271,94,123,196,187,75,140,123
517,277,88,128,185,196,73,142,120
518,277,90,126,185,190,75,142,124
519,271,73,126,185,191,75,144,119
520,277,116,123,188,196,73,142,123
521,271,91,127,188,192,73,142,123
522,277,96,126,196,192,74,141,123
523,276,95,123,187,191,75,142,120
524,273,96,126,188,192,74,142,124
525,280,93,123,188,190,80,139,119
526,271,91,126,183,192,75,142,122
527,273,111,123,187,191,75,142,128
528,271,72,126,188,187,74,142,123
529,277,95,126,183,191,76,142,123
530,276,92,132,183,191,75,142,122
531,273,96,126,188,200,75,139,123
532,276,94,128,187,190,80,139,123
533,277,83,126,192,187,75,142,124
534,271,93,127,192,192,73,141,123
535,271,92,125,188,188,75,139,123
536,280,83,128,183,191,75,142,120
537,273,99,126,188,192,75,142,122
538,276,96,123,188,190,80,144,119
539,273,75,124,185,187,75,142,123
540,276,102,125,188,190,80,139,123
541,276,92,124,183,191,75,142,122
542,273,72,123,188,190,75,139,123
543,271,96,126,188,190,80,144,121
544,273,115,126,192,187,75,148,121
545,271,92,125,188,200,74,141,123
546,264,73,126,187,190,76,142,125
547,271,90,128,183,192,73,142,123
548,271,108,126,188,192,73,142,122
549,273,98,126,185,191,75,140,132
550,277,83,126,183,191,75,140,121
551,277,77,127,188,192,73,142,123
552,277,91,124,183,190,75,141,123
553,271,113,126,188,192,75,139,122
554,273,95,123,188,192,74,141,123
555,276,87,126,192,192,73,139,119
556,273,90,125,187,191,75,142,132
557,271,96,126,186,192,74,142,122
558,276,105,126,188,192,74,142,122
559,274,97,126,192,190,75,142,123
560,280,95,125,188,190,75,139,123
561,280,92,126,188,187,75,142,123
562,259,90,126,188,188,73,139,123
563,264,80,125,188,192,75,142,128
564,259,96,126,188,192,73,142,122
565,263,90,126,192,191,75,144,119
566,263,93,124,185,189,75,142,123
567,264,98,123,188,191,74,144,124
568,268,105,128,183,191,76,142,124
569,263,103,129,185,187,73,142,123
570,259,97,126,188,187,76,142,124
571,264,93,126,187,191,75,144,119
572,259,96,126,188,191,76,144,121
573,263,87,128,187,191,77,141,123
574,259,82,126,188,196,75,139,122
575,259,89,123,192,191,75,142,122
576,263,71,126,192,187,73,142,123
577,263,71,126,188,190,75,144,122
578,259,80,126,188,192,73,142,122
579,263,68,125,188,192,74,142,121
580,259,91,126,188,192,75,142,122
581,264,72,123,187,191,75,142,124
582,264,90,123,188,192,75,139,123
583,259,75,126,192,187,75,142,122
584,264,90,126,188,196,74,141,123
585,259,71,123,191,187,75,140,122
586,259,105,123,188,187,75,140,123
587,263,91,123,189,187,75,140,123
588,264,90,126,187,191,76,139,127
589,263,99,125,193,187,75,138,122
590,265,88,126,184,191,74,141,123
591,263,107,123,191,187,76,140,122
592,259,71,123,188,187,76,140,122
593,263,116,125,189,192,79,139,122
594,264,93,124,188,188,75,140,121
595,260,87,126,187,190,75,146,120
596,264,90,129,187,193,74,148,120
597,268,72,126,184,191,75,141,124
598,264,110,124,188,201,75,139,120
599,259,90,124,188,190,75,142,121
600,259,95,125,189,189,79,139,132
601,263,92,126,186,191,76,139,127
602,263,91,126,183,191,74,139,123
603,263,91,126,185,191,75,142,121
604,259,96,126,188,192,74,142,122
605,273,96,126,188,192,73,142,123
606,271,71,125,188,191,80,139,119
607,277,89,127,188,192,73,141,122
608,280,94,123,188,190,76,139,123
609,271,91,126,183,191,75,144,119
610,280,96,126,188,196,73,142,122
611,276,87,126,188,192,73,141,121
612,271,89,128,183,191,75,148,119
613,276,91,132,183,191,76,144,121
614,277,103,132,183,191,75,142,122
615,277,87,126,192,187,75,142,123
616,280,90,126,192,192,73,142,122
617,271,91,126,188,196,77,139,119
618,277,97,127,188,200,75,139,122
